iter	Passed	Remaining
251	1224	3635
252	1225	3618
253	1226	3603
254	1227	3586
255	1228	3570
256	1229	3555
257	1230	3539
258	1231	3523
259	1232	3507
260	1233	3492
261	1234	3476
262	1236	3464
263	1237	3449
264	1238	3435
265	1242	3429
266	1243	3414
267	1244	3400
268	1245	3384
269	1246	3369
270	1247	3355
271	1248	3341
272	1249	3327
273	1250	3312
274	1252	3301
275	1256	3295
276	1257	3281
277	1257	3267
278	1258	3253
279	1259	3239
280	1260	3226
281	1261	3212
282	1262	3199
283	1264	3186
284	1265	3175
285	1266	3161
286	1267	3148
287	1268	3135
288	1269	3122
289	1270	3109
290	1270	3096
291	1271	3083
292	1272	3070
293	1275	3063
294	1276	3051
295	1277	3038
296	1278	3026
297	1279	3013
298	1280	3001
299	1281	2989
300	1282	2977
301	1283	2965
302	1283	2953
303	1285	2942
304	1286	2930
305	1287	2919
306	1288	2908
307	1289	2896
308	1290	2885
309	1291	2874
310	1292	2863
311	1294	2854
312	1296	2845
313	1297	2834
314	1298	2823
315	1299	2812
316	1301	2803
317	1302	2792
318	1303	2781
319	1308	2780
320	1309	2769
321	1310	2758
322	1311	2747
323	1311	2737
324	1312	2726
325	1313	2716
326	1314	2705
327	1315	2694
328	1316	2684
329	1318	2677
330	1319	2667
331	1320	2657
332	1322	2648
333	1322	2637
334	1323	2627
335	1324	2617
336	1326	2609
337	1327	2599
338	1328	2589
339	1331	2585
340	1332	2575
341	1333	2565
342	1334	2556
343	1335	2546
344	1336	2536
345	1336	2527
346	1337	2517
347	1338	2508
348	1339	2498
349	1342	2493
350	1344	2485
351	1344	2475
352	1345	2466
353	1346	2457
354	1347	2447
355	1348	2438
356	1348	2429
357	1349	2420
358	1350	2411
359	1351	2402
360	1353	2395
361	1354	2387
362	1355	2378
363	1356	2369
364	1357	2361
365	1358	2352
366	1358	2343
367	1359	2335
368	1360	2326
369	1361	2318
370	1362	2310
371	1364	2302
372	1366	2296
373	1366	2288
374	1367	2279
375	1368	2271
376	1369	2263
377	1370	2254
378	1371	2246
379	1371	2238
380	1372	2230
381	1373	2222
382	1374	2214
383	1376	2208
384	1377	2200
385	1378	2192
386	1379	2184
387	1379	2176
388	1380	2168
389	1381	2160
390	1382	2152
391	1382	2145
392	1383	2137
393	1385	2130
394	1386	2123
395	1387	2115
396	1388	2108
397	1388	2100
398	1389	2093
399	1390	2085
400	1391	2078
401	1392	2071
402	1393	2063
403	1393	2056
404	1394	2049
405	1395	2041
406	1396	2035
